author|flightDate|flightFromCity|flightToCity|flightType|flightClass|mark|title|text
Stefania Maggio|febbraio 2020|Roma|Singapore|Internazionali|Economy|1.0|ASSISTENZA CLIENTI INESISTENTE|Ho volato due anni fa con Etihad da Roma alle Maldive (a/r), un volo piacevole in tutto, confort, cibo, assistenza del personale verso la mia bambina di 3 anni, puntualità...nulla da eccepire. Tant'è che quest'anno per un viaggio multitratta Roma-Singapore-Phuket-Roma, ho nuovamente deciso di scegliere questa compagnia aerea. Purtroppo due settimane prima della partenza si è verificato un problema di salute e non siamo potuti partire. Fortunatamente (vista la spesa di 4.200€ del solo volo) ho stipulato un'assicurazione la quale mi sta chiedendo con insistenza un documento da parte di Etihad comprovante l'ammontare delle tasse aeroportuali che la compagnia aerea è dovuta per legge a restituirmi. IL NULLA...non c'è modo di parlare con operatori al telefono se non tramite assistenza guidata che non chiarifica tutte le casistiche, ho mandato email a più indirizzi ma nessuno risponde: ASSISTENZA CLIENTI INESISTENTE.
valery|febbraio 2020|Roma|Abu Dhabi|Internazionali|Economy|5.0|Un volo a 5 stelle|Ho viaggiato recentemente con Etihad per andare negli Emirati arabi, e sono rimasta più che soddisfatta. Volo piacevolissimo e confortevole. Sedili molto comodi e buon spazio davanti per le gambe. Pulizia eccellente. Assistenti di volo molto cortesi e disponibili. Buoni anche i pasti. Sono stati puntuali sia all’andata che al ritorno.
rebeanto|febbraio 2020|Milano|Singapore|Internazionali|Economy|4.0|Una crociera fantastica|Un volo con scalo ad Abu Dhabi fino a Singapore...un buon volo tranquillo un po’ fresco....o freddo!!! Ma nell’insieme puntualità cortesia lo consiglio!!! Potete viaggiare con loro tranquillamente! Provatelo! 😉 vi aspettano ottimi pranzi ! Io se avrò modo volerò ancora con loro🤗
Marco B|febbraio 2020|Roma|Kuala Lumpur|Internazionali|Economy|4.0|buona compagnia di bandiera|come da titolo, ottimo servizio a bordo, velivoli nuovi, personale gentilissimo, unico neo lo spazio x le gambe...
andreasarica|febbraio 2020|Roma|Malé|Internazionali|Economy|2.0|Se non dovete andare ad Abu Dhabi c'è di meglio|"Iniziamo con il check in a Fiumicino. Eravamo 4 persone (quindi con diritto di 4 bagagli in stiva da 23 kg cadauno) ma ne volevamo imbarcare solo uno da 30 kg. L'hostess ci ha bloccato dicendoci ""bovinamente"" che non doveva superare i 23 Kg. Gli facciamo notare che in 4 avremmo potuto raggiungere 92 kg mentre gliene stavamo consegnano solo 30 ma nulla. Abbiamo dovuto svuotare la valigia e passare parte del bagaglio in una borsa che volevamo portare a mano e imbarcare in stiva 2 colli invece di uno. Assurdo. Altre compagnie ""del Golfo"" che operano nelle stese tratte non ci hanno mai fatto problemi simili. A bordo schermi rotti all'andata e al ritorno invece si vedeva il film ma con audio bassissimo e poca scelta. Menù scadente. Per quanto mi riguarda c'è molto ma molto di meglio."
capocafarella2016|gennaio 2020|Roma|Phuket|Internazionali|Economy|4.0|Winter flying|Etihad Airways si conferma in cima alla lista delle compagnie aeree verso il sud est asiatico. Servizio di bordo perfetto, cibo di buona qualità e soprattutto molto puntuale. Rapporto qualità prezzo ottimo.
laurasai|dicembre 2019|Milano|Abu Dhabi|Internazionali|Economy|4.0|Il volo sulle tratte più lunghe è molto comodo|Sedili ampi, c'è spazio e tutti gli accessori per l'intrattenimento. Il cibo non è granchè, avevo scelto l'opzione vegetariana ma ho scoperto che offrivano la scelta a tutti, ed era migliore del mio prenotato. Prenotazione online comoda, imbarco ben gestito.
Gianluca3008|dicembre 2019|Singapore|Abu Dhabi|Internazionali|Business|5.0|OTTIMO VOLO|Aereo confortevole, personale di bordo molto professionale e gentile, puntualità eccelsa. Menu di bordo davvero interessante e gustoso, ottima selezione di bevande. Intrattenimento di volo molto ricco di contenuti.
Linda S|febbraio 2020|Kochi (Cochin)|Roma|Internazionali|Economy|3.0|Compagnia affidabilissima. Servizi area transiti aeroporto di Abudabhi pessimi|Avevo due voli con la compagnia, con scalo all’aeroporto di Abu Dabhi. I voli sono stati confortevoli e puntualissimi. Purtroppo nella zona transiti dell’aeroporto di Abu Dabhi, al controllo di sicurezza, la situazione è stata perfino pericolosa. La scala mobile che conduce alla zona porta in un ambiente stretto e mal progettato. C’eramolte persone, con bagagli, che bloccavano la discesa dalla scala...c'è stato il rischio di cadere uno sull’altro! Personale dell’aeroporto assente. Da lì si accedeva ad un’area molto grande ma davvero piena zeppa di gente. Sembrava che fossero stati colti di sorpresa e non si aspettassero tutta la gente presente. Abbiamo aspettato oltre 30 min prima del controllo con molti che hanno rischiato di perdere il volo. Le compagnie aeree dovrebbero pretendere un servizio migliore.
Giuseppe S|gennaio 2020|Phuket|Abu Dhabi|Internazionali|Economy|1.0|hostess da rivedere|è stato un buon volo se....a mezzanotte le hostess sono sparite non le abbiamo piu' viste fino all'atterraggio...ben 4 ore di assenza in tutto l'aereo non ricordo il numero del volo ma era quello in partenza da Phuket il 28 gennaio alle 20,20
Giuseppe S|gennaio 2020|Abu Dhabi|Roma|Internazionali|Economy|5.0|buono|ottimo servizio...hostess sempre presenti ,aereo molto pulito,ottimi pasti... intrattenimento con molti film disponibili
vali|dicembre 2019|Napoli|Melbourne|Internazionali|Economy|3.0|Buon volo peccato il cibo|Ottima la scelta, a pagamento, di posti più ampi che ti consentono di stendere bene le gambe. Molto meno buona la scelta dei menu, ripetitivi e non proprio gustosi, e in alcuni casi davvero poco appetibili. Anche i bagni lasciavano a desiderare
Simone C|gennaio 2020|Bangkok|Milano|Internazionali|Economy|4.0|Bagagli....|Ho preso un biglietto in offerta per il volo da bangkok a Milano sul biglietto mi dice che la franchigia é 23kg ma sul sito della compagnia mi dice 30kg... Quale di queste é giusta...?
Roby C|dicembre 2019|Milano|Abu Dhabi|Internazionali|Economy|4.0|Compagnia aerea consigliata|"Volo puntualissimo all'andata, un'oretta di ritardo al ritorno, ma recuperata durante il volo. Personale molto cortese e disponibile. Tutti i comfort adeguati ad un viaggio di medio raggio. Ottimo il cibo a bordo. Due sole note negative: durante il volo di ritorno solo programmi di intrattenimento e film in lingua straniera; lo spazio un po' ""risicato"" per i posti a sedere (economy). Per il resto, nulla da dire, viaggiato veramente bene!"
Cam L|agosto 2019|Bologna|Jebel Ali|Internazionali|Business|4.0|Compagnia seria|Buona compagnia, servizi superiori alla madia personale molto gentile e diponibile, buona l scelta dei films a bordo.
EvaKant91|gennaio 2020|Abu Dhabi|Roma|Internazionali|Economy|1.0|Volo da spavento|Volo ey85 del 12 gennaio 2020: dopo circa 6 minuti dal decollo si sono avvertiti due vuoti d’aria da far urlare sia adulti che bambini nonostante le condizioni meteorologiche fossero perfette. I bambini piangevano per lo spavento e gli adulti gridavano per quanto erano forti, nessun messaggio da parte del comandante nè assistenza da parte del personale di bordo. Atterraggio a Fiumicino, mai stato così brusco. Assolutamente da evitare. Un volo da far perdere anni di vita.
253patty52|gennaio 2020|Roma|Abu Dhabi|Internazionali|Economy|1.0|impossibilita di viaggiare causa malattia|sarei dovuta partire questa mattina.il mio regalo di natale da parte di mio figlio che vive e lavora ad abu dhabi. purtroppo l'influenza 2020 mi ha colpita domenica 39/40 di febbre. ho subito avvisato mio figlio e lui mi ha rassicurata dicendo che poteva annullare la prenotazione. mercoledi un operatore del call center gli ha detto che si poteva spostare la data a fine gennaio e che gli avrebbe dato conferma giovedi. giorno in cui invece a mio figlio è stato detto che non era possibile e alla sua richiesta di annullare la prenotazione che era ormai tardi.cosa dire?incompetenza?disonesta? tant'e' che mio figlio perderà i soldi ed io sarò costretta a farmi il biglietto da sola (pensionata non benestante) se lo voglio riabbracciare grazie ETIHAD.
josephpas|dicembre 2019|Sydney|Catania|Internazionali|Economy|3.0|Poca possibilità di scelta posti non a pagamento|Durante la fase di check in online, notato che la scelta dei posti non a pagamento era solo sul volo da Sydney ad Abu Dhabi. Mentre nel volo successivo verso Roma erano solo a pagamento. Il servizio dovrebbe essere offerto su tutti i voli e non solo su alcuni.
giorgio r|dicembre 2019|Milano|Abu Dhabi|Internazionali|Economy|2.0|Pessimo|Check online inesistente ! Decisamente un altro carro bestiame ! Non la consiglio come compagnia !!!!!
gitiRoma|dicembre 2019|Roma|Abu Dhabi|Internazionali|Economy|2.0|Check-in online pessimo|Dopo questa esperienza non volerò sicuramente mai più con Etihad! Volendo fare il check-in online, dopo aver finito tutta la procedura, ti dicono candidamente che non è possibile scegliere il proprio posto, te lo assegnano loro. E non ti assicurano che puoi stare seduto vicino al tuo compagno di volo. Assurdo!!!
Teresa A|dicembre 2019|Roma|Melbourne|Internazionali|Economy|2.0|È una delusione|Ho viaggiato con Etihad da Roma a Melbourne e ritorno nel 2017 e ho riscontrato un perfetto servizio in tutti i sensi: cibo abbondante e ottimo, tanti snack e un set di cortesia eccezionale ( calzini, dentifricio spazzolino, maschera per dormire) . Ho rifatto lo stesso volo il 1/12/2019 e ho riscontrato, in un volo così lungo, cibo molto scarso e senza varianti a chi non piaceva qualcosa, senza set di cortesia e ,pensando di averlo a bordo, non avevo portato . E' ASSURDO!!! Il 27 dicembre ritorno a Roma e NON prenderò mai più questa compagnia. Io viaggio spesso per Melbourne e ora posso dire che non c'è paragone con altre compagnie ma nemmeno con Etihad del 2017
593patrizia|dicembre 2019|Roma|Abu Dhabi|Internazionali|Economy|1.0|VOLO PER E DA ABU DHABI|ogni anno vado negli emirati a novembre volando con emirates ottimi servizi assistenza quest'anno ho partecipato ad una crociera in partenza da ABU DHABI e ritorno il 7 dicembre volo notturno in arrivo a Roma alle 6,30 del mattino mi sono trovata malissimo sia per gli scarsi servizi offerti sia perche' l'aereo aveva una altissima aria condizionata quindi un gran freddo ho chiesto ripetutamente alle hostess di abbassare la temperatura impossibile da resistere essendo un volo notturno e alle mie rimostranze non e' stata abbassata quindi e' chiaro che sono tornata ammalata non capisco questo sistema di ibernazione mi auguro di non dovere volare con ETHIAD
Peritoborgo|novembre 2019|Milano|Malé|Internazionali|Economy|5.0|Compagnia eccellente|Abbiamo effettuato quattro voli con questa compagnia, da Milano a Male con scalo ad Abu Dhabi e ritorno con la stessa modalità. In tutti i voli abbiamo avuto un servizio eccellente dal personale di bordo. Il cibo offerto, tenuto conto dei limiti di un pasto in aereo è stato di buona qualità. L'assistenza sia a terra che in volo è stata di prim'ordine. Speriamo di viaggiare ancora con questa compagnia
Anna S|novembre 2019|Roma|Dammam|Internazionali|Economy|5.0|Servizio veloce ma attento|Pasti gradevoli, consegna bagagli veloce, posto nell’ulTima fila vicino ai bagni ma con spazio supplementare vicino al finestrino
Elisa1782|novembre 2019|Milano|Bangkok|Internazionali|Economy|3.0|Volo discreto|Volo da Malpensa a Bangkok con scalo ad abu Dhabī. Voli discreti, posti in economy stretti, computer del mio seggiolino non funzionava. Cibo non molto buono ma il personale molto gentile. Sicuramente la compagnia potrebbe migliorare tante cose
Monika|dicembre 2019|Manila|Abu Dhabi|Internazionali|Business|5.0|Il confort innanzitutto|Volo di lunga durata ma confortevole. Ottima l assistenza del personale di servizio, massima cortesia, simpatia e disponibilità. Aereo nuovo e tecnologico
Laura V|ottobre 2019|Milano|Abu Dhabi|Internazionali|Business|5.0|Fiera ad Abu Dhabi|Ottima compagnia aerea , volo perfetto in orario grande gentilezza a bordo servizio impeccabile cibo nella media consiglio vivamente questa compagnia
margaretmalcantone|aprile 2019|Zurigo|Tokyo|Internazionali|Economy|4.0|Volo dall'altra parte del mondo|Abbiamo scelto i posti a pagamento più larghi due poltrone e tanto spazio, per dei voli cosi lunghi è stato l'ideale. Personale gentile sopratutto hostess di terra presso Abu Dhabi.
farwest1974|novembre 2019|Milano|Abu Dhabi|Internazionali|Economy|4.0|Scelta azzeccata|In perfetto orario sia all'andata che al ritorno.Cortesia al check in ed in volo.Pasti piuttosto buoni ed abbondanti.Intrattenimento ok.Spazio accettabile.Unico neo: aria condizionata altissima durante l'intera tratta.La coperta non e' bastata.
marinamaurizio|novembre 2019|Manchester|Abu Dhabi|Internazionali|Economy|4.0|Viaggiare Etihad Airways|Ho già volato più volte con questa compagnia e sono sempre rimasta soddisfatta del servizio anche se ultimamente alcune cose sono un po’ cambiate... cibo a bordo abbastanza buono e negli standard della economy, ma ora le posate sono in plastica e il menù del pasto non comprendeva un piccolo antipasto e/o insalata..risparmiano anche loro! Buona scelta di film anche in lingua italiana e personale gentile.
Valentina B|novembre 2019|Roma|Abu Dhabi|Internazionali|Economy|1.0|Ma come si viaggia?|Ma è possibile che ancora una compagnia come ethiad utilizzi spazi così ristretti per far viaggiare i passeggeri? Stiamo parlando di voli intercontinentali dove poter avere la possibilità di muovere un braccio o una gamba penso sia fondamentale. Altra nota dolente in partenza da Abu Dhabi al servizio Check-in sono stati veramente scortesi e maleducati, una signora col busto ha dovuto pagare 80€ per eccesso peso, “il busto poteva tenerselo addosso” queste le parole dell’addetto. Io ho dovuto rifare il check-inn al primo scalo, altri passeggeri allo scalo hanno dovuto ritirare il bagaglio e ripetere la procedura. Dovrei consigliare questa compagnia? No
Maria Rosa C|novembre 2019|Milano|Bangkok|Internazionali|Economy|3.0|mi aspettavo meglio|mi aspettavo un servizio a bordo più consono al tipo di viaggio ,intrattenimento in italiano quasi assente !! nessun tipo di servizio cortesia tipo ciabattine o mascherina!!!
Riccardo R|novembre 2019|Milano|Abu Dhabi|Internazionali|Economy|1.0|La peggiore compagnia araba|Aereo con spazio x le gambe inesistente, cibo di bassa qualità ma soprattutto di scarsa quantità, oltre il pasto(scarso) danno solo un minuscolo snack, almeno un sandwich potrebbero darlo!! Le altre compagnie della zona, Emirates, Qatar e addirittura Oman sono di gran lunga migliori e anche più economiche, eviterò di prenderla ancora!!
Fiocco97|novembre 2019|Abu Dhabi|Tokyo|Internazionali|Economy|2.0|Pessimi|Ho volato con questa compagnia per più tratte. Una di queste, della durata di 9 ore, in condizioni pessime: spazio per le gambe inesistente, il solito cibo pesantissimo, cuffie preistoriche (forse pure riciclate). Pagando un supplemento (il volo già non costa poco) si possono avere posti più spaziosi. Mi avete fatto viaggiare come una bestia, mai più
de_narbonne|novembre 2019|Abu Dhabi|Milano|Internazionali|Economy|2.0|Viaggio infernale|in transito da Bangkok, dopo estenuanti controlli a Abu Dhabi, notte fonda mi trovo invece di un comodo air bus in un aereo da voli interni,, con sedili stretti posto per le gambe inesistente, tanto che dopo 10 giorni ho ancora infiammazione al nervo sciatico. cibo scadente, gli assistenti di volo molto gentili, anche se il passeggero in fronte all'ora della cena non ha tirato su il sedile quindi ero impossibilitato a muovermi per mangiare l'assistente non ha insistito perche' si tirasse su giusto per la mezzora del pasto, avrei voluto paracadutarmi, un viaggio cosi' pessimo non lo ricordo neanche quando era concesso fumare in volo
❤️EnZuCciA❤️|marzo 2019|Roma|Abu Dhabi|Internazionali|Economy|5.0|Volo meraviglioso|Già quando si entra si respira un atmosfera di eleganza e raffinatezza. Musica tipica asiatica rilassante e hostess ben curate e sorridenti. Poltrone comode , e cibo buono. Le ore di volo sono passate tranquille. Consigliato in quanto professionalità e competenza.
Lorenzo C|novembre 2019|Roma|Malé|Internazionali|Economy|4.0|Ottimo servizio a bordo, la qualità del cibo andrebbe migliorata|Viaggio di andata e ritorno dalle Maldive, Orari rispettati, personale attento a bordo, atteggiamento disponibile del personale a terra. Unico neo la qualità del cibo.
Pf02359|ottobre 2019|Abu Dhabi|Milano|Internazionali|Economy|4.0|Ancora buona|Rientro da Bangalore con a321 , un po’ al limite per volo fino ad Abu Dhabi, gentile la hostess a chiedermi se volevo spostarmi all’uscita di sicurezza, più spazioso. Poi volo x Roma con 777, comodo ( ero in 1 fila) e spazioso. Buon servizio e puntuale
Pf02359|ottobre 2019|Roma|Abu Dhabi|Internazionali|Economy|4.0|Buona|Assolutamente buona , volato con 787 , comodo , pulito, buon servizio con anche hostess italiana. Nulla da dire
Silvia|ottobre 2019|Tokyo|Roma|Internazionali|Economy|1.0|Poca disponibilità|Questo mese sono rimasta bloccata due volte per dei tifoni. La prima volta siamo rimasti ad Abu Dhabi, dove la compagnia ci ha fornito vitto e alloggio. Per il ritorno tutte le connessioni con l'aeroporto erano interrotte, siamo riusciti per miracolo ad arrivare dopo 4 ore all'aeroporto. Tutti i voli erano stati largamente ritardati o persino cancellati poiché i passeggeri non potevano arrivare. Qui arriva il bello: 1) il volo è partito 2) il desk di Tokyo non è abilitato alla riemissione dei biglietti perciò ci hanno detto di chiamare il call centre 3) il numero del call centre è disastroso da contattare perché è un labirinto 4) riusciamo finalmente a capire come parlare con una persona del call centre e qui c'è stata una mancanza di umanità e professionalità assoluta. Siamo in luna di miele e mio suocero è morto, ma a loro non è interessato nulla. Né che i trasporti per l'aeroporto fossero soppressi, né che una cinquantina di persone siano state lasciate a terra. Ci hanno chiesto 1500€ a persona per volare il giorno dopo. Tra l'altro essendo le connessioni via terra sospese, siamo rimasti bloccati all'aeroporto senza nessuna assistenza. Ad ogni modo riavrò i soldi del viaggio poiché il rimborso è obbligatorio in caso di lutto, perciò avrebbero potuto risparmiare questa scena pietosa.  Non volate mai con Etihad.
domenico b|agosto 2019|Roma|Jakarta|Internazionali|Economy|3.0|nella media ma la qualità in peggioramento|Volo da Roma con scalo ad Abu Dhabi partito in ritardo di 1 ora, ma nessun problema perché avevamo una attesa di 3.50 h ad Abu Dhabi. Aereo 787 dreamliner nuovo, pulito, ma meno spazio per le gambe in economy, personale e servizi a bordo nella media catering mediocre e scarso, a saperlo prima avrei portato il panino da casa!! Ho chiesto anche una birra che è arrivata a temperatura ambiente! Snack a pagamento, siamo a livello di low cost. Il secondo volo per Giacarta partito e arrivato puntuale su Airbus 330, un pò datato e non pulitissimo, ma le poltrone comode e con spazio per le gambe, personale gentile, cibo scarso e se vi viene fame..snack a pagamento! Per il ritorno stesso livello di servizi, la prima tratta su 787 dreamliner e la seconda su boeing 777 che non è molto diverso dal primo per confort e spazio delle poltrone. La scelta on line dei posti è a pagamento, solo al momento del check in on line che apre 24h prima hai la possibilità di sceglierli gratuitamente, se poi fai il check in al banco le possibilità si riducono ulteriormente.. Poiché il volo in agosto è costato solo 460€ tutto sommato il rapporto qualità prezzo nel mio caso è stato buono, ma se dovessi spendere di più in futuro direi che c'e di meglio!
Andrea Rossi|luglio 2019|Roma|Abu Dhabi|Internazionali|Economy|4.0|ottima compagnia|preso questa compagnia più volte, sempre in Economy, dall'Italia per l'Africa subsahariana. Ottimo il servizio a bordo inteso come cortesia delle hostess. Cibo così così ma francamente ho girato mezzo mondo e non ricordo di aver mai mangiato bene su un volo. Volo puntuale, bagaglio recapitato, attracco con finger a FCO, autobus ad Abu Dhabi che rallenta sempre un po'. Spazio per le gambe buono. Schermo per film e giochi non nuovissimo ma funzionante. Check in e imbarco veloce e con il sistema a blocchi di lettere che consente meno caos nella fase di salita a bordo
Daniela Mazzarello|agosto 2019|Milano|Melbourne|Internazionali|Economy|2.0|Sopravvalutata|Questa è stata la seconda volta che ho viaggiato con questa compagnia e penso che sarà anche l'ultima. La prima volta tutto sommato (pur non avendo trovato la compagnia all'altezza di molte compagnie europee) era andata abbastanza bene ma questa volta ci sono stati problemi con il bagaglio (arrivato a destinazione distrutto) e, a distanza di oltre un mese, ancora non ho capito se verrà rimborsato o meno. Sinceramente - considerato che viaggio molto e mi era già capitato qualche disguido con i bagagli - è la prima volta che vedo tanta reticenza non solo a rimborsare ma a dare addirittura riscontro alla segnalazione. Onestamente sono abbastanza perplessa . Prima di prenotare questa compagnia valutate anche quelle europee che, a livello di assistenza, sono decisamente migliori.
the Tuarregh life|agosto 2019|Milano|Colombo|Internazionali|Economy|4.0|GRANDE COMPAGNIA CON QUALCHE MA DA SISTEMARE|Abbiamo preso in totale 5 voli da e per le nostre vacanze. Prezzi buoni, aeromobili abbastanza nuovi (anche se la scelta dei tessuti interni è un pò vintage con questo beige/marrone e derivati) e personale solitamente cordiale (x questo Etiihad non può trovare solo persone carine e coccolose). Puntualità voto 10, transfert bagagli ok, coincidenze ok. La pecca più grossa è la prenotazione dei posti che sono a pagamento fino a 30 ore prima del volo (30 ore ??? fare 1 o 2 giorni interi no?). il problema nasce quando viaggi con dei minori che, a detta di tutti quindi credo non solo nella mia testolina, essi devono viaggiare sempre accompagnati da un adulto. noi su 5 voli presi (4 Etihad ed uno in collaborazione con Alitalia) abbiamo avuto solo 2 voli i posti preassegnati in fianco uno all' altro, nei restanti 3 voli (2 da 4,5 ore ed uno da 1) avevamo 4 posti completamente divisi. Quindi è iniziato tutto il cinema per cambiarli, perché puoi farlo solo all' aeroporto base della compagnia, quindi ad Abu Dhabi (o Roma per Alitalia). Nella app non si può, al call center nemmeno, al tuo aeroporto di partenza nemmeno... insomma sembra fatto apposta per farti pagare i posti, oltre ad averli già pagati nell' acquisto del volo ovviamente, con cifre che partono dagli 8€ a volo a testa, nel mio caso avrei speso altri € 160,00 come minimo... no comment (anche perché lo scopri a posteriori che i posti li hai divisi e non puoi più cambiarli manco a pagamento.
Mauro G|settembre 2019|Milano|Bangkok|Internazionali|Economy|4.0|Viaggio ottimo, tranquillo e rispettato gli orari.|Mi sono sentito molto bene, ben servito, e con orari rispettati al minuto. Solo per quanto riguarda il cibo si potrebbe migliorare.
Stefano C|settembre 2019|Roma|Sydney|Internazionali|Economy|4.0|HO AVUTO FIDUCIA|Se non fosse stato per il volo/ tratta Abu-Dhabi - Sydney, la mia recensione sarebbe stata con qualche punto in meno a questa Compagnia! Perché avendo fatto Roma - Abu-Dhabi con un veicolo di Etihad un po’ scadente (con monitor che non funzionava molto bene, sedili un po’ troppo vecchi e stretti), il volo successivo come sopra menzionato è stato a dir poco sbalordivo ( aereo nuovo di zecca, monitor di alta qualità, sedili con postazione larga e comodi, vista la mia altezza). Complimenti, dopo le recensioni lette, mi devo ricredere su questa compagnia! Bravi! Per quanto riguarda il cibo, anche qui do’ la mia sufficienza, essendo italiano, ci si aspetta sempre il massimo! Equipaggio bravi, compresivi ed efficienti! Quindi avete avuto la mia fiducia. Continuate così! Stefano!
Sirin|settembre 2019|Abu Dhabi|Bologna|Internazionali|Economy|1.0|Personale di terra|Pessimo personale! Partendo da Roma mi hanno chiesto di mostrare la carta di credito con cui ho prenotato il volo, e dopo averlo fatto mi hanno assicurato che non me l’avrebbero più chiesta, che potevo partire tranquilla. Al ritorno da Abu Dhabi mi richiedono di presentarla o di fare un altro biglietto. Non avendola dietro, e avendo solo una foto non l’hanno accettata e quindi mi è toccato rifare un altro biglietto, più di 500€! Personale pessimo con aereo eccellente, peccato
Raffaele S|agosto 2019|Milano|Abu Dhabi|Internazionali|Economy|4.0|Economy|Aereo confortevole, spazio per le gambe piu' che accettabile, puntualissimo, cibo a bordo vario e ottimamente cucinato, personale di bordo gentile e professionale, e' la mia compagnia aerea preferita, tanto e' vero che sono diventato Gold Guest, visti i miei frequenti spostamenti.
Christian C|NULL|Zurigo|Abu Dhabi|Internazionali|Economy|3.0|NON PER TUTTI|Cibo buono volo in orario però lo spazio tra i sedili è piuttosto contenuto e per quelli più alti è probabilmente è un problema. Successivamente ho volato con la stessa compagnia per Kuala Lumpur ed anche altro aereo Boing 787 lo spazio non era ampio.
Mauro G|agosto 2019|Bangkok|Milano|Internazionali|Economy|3.0|Volo Etihad|Un volo direi normale, un buon servizio, e massima puntualità. Cibo niente di speciale, ma non male.
